Company Name,Company Initials,Price,Previous Close,Market Cap,Date,price change
Tesla Inc,TSLA • NASDAQ,215.82,219.96,678.05B ,2023-11-06_21-19,-4.140000000000015
Bank of Montreal MicroSectors FANG Index 3X Inverse Leveraged ETN Exp 8 Jan 2038,FNGD • NYSEARCA,8.79,8.66,57.08B ,2023-11-06_21-19,0.129999999999999
NVIDIA Corp,NVDA • NASDAQ,450.39,450.05,1.11T ,2023-11-06_21-19,0.339999999999975
Rivian Automotive Inc,RIVN • NASDAQ,17.04,17.71,16.18B ,2023-11-06_21-19,-0.6700000000000017
Unity Software Inc,U • NYSE,25.62,27.64,9.82B ,2023-11-06_21-19,-2.0199999999999996
Plug Power Inc,PLUG • NASDAQ,6.09,6.62,3.66B ,2023-11-06_21-19,-0.5300000000000002
Futu Holdings Ltd,FUTU • NASDAQ,61.65,58.72,8.62B ,2023-11-06_21-19,2.9299999999999997
Apple Inc,AAPL • NASDAQ,178.17,176.65,2.79T ,2023-11-06_21-19,1.5199999999999818
PayPal Holdings Inc,PYPL • NASDAQ,54.48,56.1,59.92B ,2023-11-06_21-19,-1.6200000000000045
Grab Holdings Ltd,GRAB • NASDAQ,3.15,3.16,12.28B ,2023-11-06_21-19,-0.010000000000000231
Carnival Corp,CCL • NYSE,12.09,12.56,15.11B ,2023-11-06_21-19,-0.47000000000000064
Block Inc,SQ • NYSE,48.46,48.68,29.56B ,2023-11-06_21-19,-0.21999999999999886
JD.Com Inc,JD • NASDAQ,26.97,26.94,42.00B ,2023-11-06_21-20,0.029999999999997584
Frontline Plc,FRO • NYSE,22.29,22.66,4.96B ,2023-11-06_21-20,-0.370000000000001
American Airlines Group Inc,AAL • NASDAQ,11.54,11.98,7.57B ,2023-11-06_21-20,-0.4400000000000013
Barrick Gold Corp,GOLD • NYSE,16.51,16.48,28.90B ,2023-11-06_21-20,0.030000000000001137
Alibaba Group Holding Ltd - ADR,BABA • NYSE,85.32,85.29,217.00B ,2023-11-06_21-20,0.029999999999986926
KE Holdings Inc - ADR,BEKE • NYSE,15.23,15.26,19.04B ,2023-11-06_21-20,-0.02999999999999936
Advanced Micro Devices Inc.,AMD • NASDAQ,110.41,112.25,179.06B ,2023-11-06_21-20,-1.8400000000000034
Nokia Oyj,NOK • NYSE,3.44,3.46,19.27B ,2023-11-06_21-20,-0.020000000000000018
PDD Holdings Inc - ADR,PDD • NASDAQ,107.55,106.42,141.92B ,2023-11-06_21-20,1.1299999999999955
Ford Motor Co,F • NYSE,10.31,10.57,41.33B ,2023-11-06_21-20,-0.2599999999999998
Amazon.com Inc,AMZN • NASDAQ,139.25,138.6,1.44T ,2023-11-06_21-20,0.6500000000000057
Upstart Holdings Inc,UPST • NASDAQ,28.46,30.32,2.41B ,2023-11-06_21-20,-1.8599999999999994
Equinor ASA,EQNR • NYSE,33.42,33.15,99.54B ,2023-11-06_21-20,0.2700000000000031
